MB,delay,tcp_size,parallel_buffer,N,run,seconds
10240,10,big,100,3,6,9.76937484741
10240,10,big,100,3,7,9.58534908295
10240,10,big,100,3,8,9.57720518112
10240,10,big,100,3,9,9.53678917885
10240,10,big,200,3,1,9.55917000771
10240,10,big,200,3,2,9.56060886383
10240,10,big,200,3,3,9.6469950676
10240,10,big,200,3,4,9.5429661274
10240,10,big,200,3,5,9.56397509575
10240,10,big,200,3,6,9.83904790878
10240,10,big,200,3,7,9.53960680962
10240,10,big,200,3,8,9.57290697098
10240,10,big,200,3,9,9.62670707703
10240,10,big,400,3,1,9.56692814827
10240,10,big,400,3,2,9.77864289284
10240,10,big,400,3,3,9.53986907005
10240,10,big,400,3,4,9.58710885048
10240,10,big,400,3,5,9.56510901451
10240,10,big,400,3,6,9.62387681007
10240,10,big,400,3,7,9.60734319687
10240,10,big,400,3,8,9.55705094337
10240,10,big,400,3,9,9.59068799019
10240,20,big,4,3,1,9.79078602791
10240,20,big,4,3,2,9.83464288712
10240,20,big,4,3,3,9.84082889557
10240,20,big,4,3,4,9.79212594032
10240,20,big,4,3,5,9.82463502884
10240,20,big,4,3,6,9.93591809273
10240,20,big,4,3,7,9.7733938694
10240,20,big,4,3,8,10.2942910194
10240,20,big,4,3,9,9.77597880363
10240,20,big,10,3,1,9.76218914986
10240,20,big,10,3,2,9.83137392998
10240,20,big,10,3,3,9.87106204033
10240,20,big,10,3,4,9.76547122002
10240,20,big,10,3,5,9.88808488846
10240,20,big,10,3,6,9.84132599831
10240,20,big,10,3,7,9.9795358181
10240,20,big,10,3,8,9.88391399384
10240,20,big,10,3,9,10.03018713
10240,20,big,25,3,1,9.78965997696
10240,20,big,25,3,2,10.4492712021
10240,20,big,25,3,3,9.81817603111
10240,20,big,25,3,4,11.4249150753
10240,20,big,25,3,5,10.0739359856
10240,20,big,25,3,6,9.89765405655
10240,20,big,25,3,7,10.0706510544
10240,20,big,25,3,8,10.0280549526
10240,20,big,25,3,9,10.1365630627
10240,20,big,50,3,1,9.8747959137
10240,20,big,50,3,2,9.92128396034
10240,20,big,50,3,3,9.91934394836
10240,20,big,50,3,4,9.84837293625
10240,20,big,50,3,5,9.84570097923
10240,20,big,50,3,6,10.1215128899
10240,20,big,50,3,7,9.90391993523
10240,20,big,50,3,8,9.88895606995
10240,20,big,50,3,9,9.80478096008
10240,20,big,75,3,1,9.93657779694
10240,20,big,75,3,2,10.0648140907
10240,20,big,75,3,3,10.0828588009
10240,20,big,75,3,4,9.96008992195
10240,20,big,75,3,5,9.83553385735
10240,20,big,75,3,6,9.97982287407
10240,20,big,75,3,7,9.93134999275
10240,20,big,75,3,8,9.90392303467
10240,20,big,75,3,9,10.0149440765
10240,20,big,100,3,1,9.95075297356
10240,20,big,100,3,2,9.9876139164
10240,20,big,100,3,3,10.1534130573
10240,20,big,100,3,4,11.4437119961
10240,20,big,100,3,5,9.90608811378
10240,20,big,100,3,6,10.1450641155
10240,20,big,100,3,7,10.0632679462
10240,20,big,100,3,8,10.0209748745
10240,20,big,100,3,9,11.3967080116
10240,20,big,200,3,1,10.0589761734
10240,20,big,200,3,2,10.0241310596
10240,20,big,200,3,3,9.82350587845
10240,20,big,200,3,4,9.92402887344
10240,20,big,200,3,5,10.0402669907
10240,20,big,200,3,6,9.87358689308
10240,20,big,200,3,7,9.8904979229
10240,20,big,200,3,8,10.0573627949
10240,20,big,200,3,9,9.94919705391
10240,20,big,400,3,1,10.0740578175
10240,20,big,400,3,2,10.449641943
10240,20,big,400,3,3,9.94429993629
10240,20,big,400,3,4,9.86784791946
10240,20,big,400,3,5,11.6389977932
